date,point,bird.count,site,start.time,genus,species,distance,flyby,playback,0,2,4,6,8,crew1,crew2,crew3,crew4,crew5
20240219,AZ019,AZBRD019 - 20240219,Eco Venao,6:28,Cyanocorax,affinis,,,no,1,0,0,0,0,DM,JS,JG,HS,
20240219,AZ019,AZBRD019 - 20240219,Eco Venao,6:28,Melanerpes,rubricapillus,,,no,0,1,0,0,0,DM,JS,JG,HS,
20240219,AZ019,AZBRD019 - 20240219,Eco Venao,6:28,Euphonia,luteicapilla,,,no,0,1,0,0,0,DM,JS,JG,HS,
20240219,AZ019,AZBRD019 - 20240219,Eco Venao,6:28,Melanerpes,rubricapillus,,,no,0,1,0,0,0,DM,JS,JG,HS,
20240219,AZ019,AZBRD019 - 20240219,Eco Venao,6:28,Melanerpes,rubricapillus,,,no,0,0,1,0,0,DM,JS,JG,HS,
20240219,AZ019,AZBRD019 - 20240219,Eco Venao,6:28,Euphonia,luteicapilla,,,no,0,0,1,0,0,DM,JS,JG,HS,
20240219,AZ019,AZBRD019 - 20240219,Eco Venao,6:28,Cathartes,aura,,,no,0,0,1,1,1,DM,JS,JG,HS,
20240219,AZ019,AZBRD019 - 20240219,Eco Venao,6:28,Melanerpes,rubricapillus,,,no,0,0,0,1,0,DM,JS,JG,HS,
20240219,AZ019,AZBRD019 - 20240219,Eco Venao,6:28,Amazona,ochrocephala,,,no,0,0,0,1,0,DM,JS,JG,HS,
20240219,AZ019,AZBRD019 - 20240219,Eco Venao,6:28,Leptotila,verreauxi,,,no,0,0,0,1,0,DM,JS,JG,HS,
20240219,AZ019,AZBRD019 - 20240219,Eco Venao,6:40,Myiodynastes,maculatus,,,yes,,,,,,DM,JS,JG,HS,
20240219,AZ019,AZBRD019 - 20240219,Eco Venao,6:40,Brotogeris,jugularis,,,yes,,,,,,DM,JS,JG,HS,
20240219,AZ019,AZBRD019 - 20240219,Eco Venao,6:40,Psarocolius,decumanus,,,yes,,,,,,DM,JS,JG,HS,
20240219,AZ018,AZBRD018 - 20240219,Eco Venao,6:58,Megarynchus,pitangua,,,no,1,0,0,0,0,DM,JS,JG,HS,
