point,sample,Unknown,Formicidae,Hymenoptera.other,Geococcus,Hemiptera.other,Isoptera,Blattodea.other,Coleoptera,Diptera,Thysanoptera,Psocodea,Lepidoptera,Orthoptera,Trichoptera,Neuroptera,Zoraptera,Mecoptera,Dermaptera,Zygentoma,Embioptera,Archaeognatha,Protura,Diplura,Entomobryomorpha,Poduromorpha,Symphypleona,Oribatida,Mesostigmata,Trombidiformes,acari.other,Araneae,Opiliones,Scorpiones,Pseudoscorpiones,Ixodida,Ricinulei,Schizomida,Palpigradi,Geophilomorpha,Lithobiomorpha,Scolopendromorpha,Scutigeromorpha,Polyxenida,Chordeumatida,Polydesmida,Spirobolida,Spirostreptida,other.diplopoda,Symphyla,Tetramerocerata,Isopoda,Amphipoda,[Annelida],Gastropoda,Nematoda
AZ037,AZSOIL037,,1,,4,,,,,,1,,,,,,,,,,,,,,,,,14,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
AZ038,AZSOIL038,,1,,1,,,,1,,,1,,,,,,,,,,,,,,,,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
AZ039,AZSOIL039,,45,,8,,,,,,,,,,,,,,,,,,1,,2,,,27,,,16,3,,,,,,,,,,,,,,,,,,,,,,,,
AZ040,AZSOIL040,,,,1,,,,,,2,,,,,,,,,1,,,,1,2,,,42,,,15,,,,,,,,,,,,,,,,,,,,,,,,,
AZ041,AZSOIL041,,,2,,,,,7,,,,,,,,,,,,,,2,,,,1,82,,,18,,,,,,,,,,,,,,,,,,,,,,,,,
AZ042,AZSOIL042,,,,,,,,1,,1,,,,,,,,,,,,,,3,,,14,,,28,,,,,,,,,,,,,,,,,,,,,,,,,
AZ043,AZSOIL043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ044,AZSOIL044,,2,,5,,,,3,,1,,,,,,,,,,,,,,,,,62,,,12,1,,,,,,,,,,,,,,,,,,1,,,,,,
AZ045,AZSOIL045,,,,2,,,,1,,,,,,,,,,,,,,,,,1,,21,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
AZ046,AZSOIL046,,15,,1,,,,1,,,,,,,,,,,,,,1,2,,,,33,,,24,,,,,,,,,,,,,,,,,,,1,,,,,,
AZ047,AZSOIL047,,,,2,,,,1,,1,,,,,,,,,,,,,,2,,,17,,,14,,,,,,,,,,,,,,,,,,,,,,,,,
AZ048,AZSOIL048,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
AZ049,AZSOIL049,,2,,12,,,,,,,,,,,,,,,,,,,,,,,6,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
AZ050,AZSOIL050,,11,,4,,,,,,,,,,,,,,,,,,1,1,4,,,21,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,
AZ051,AZSOIL051,,,,5,,,,,,,,,,,,,,,,,,,,1,,1,20,,,18,,,,,,,,,,,,,,,,,,,1,,,,,,
AZ052,AZSOIL052,,7,,7,,20,,8,,3,,,,,,,,,,,,6,,4,,1,42,,,24,1,,,1,,,,1,1,,,,,,,,,,,2,,,,,1
AZ053,AZSOIL053,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,13,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,
