point,camera,lat.true,long.true,finca,sd.card,set.date,collect.date,timelapse.end,range,program,hard.drive1,cam.deployment,notes,,,,,,,,,,,,,,,,,,
AZ028,AZCAM28,7.44468,-80.20915,Eco Venao,28,20240201,20240315,20240315,5,timelapse plus,AZDRV01,AZCAM28 - 20240315,,,,,,,,,,,,,,,,,,,
AZ029,AZCAM29,7.44448,-80.20663,Eco Venao,29,20240201,20240315,20240315,4,timelapse plus,AZDRV01,AZCAM29 - 20240315,,,,,,,,,,,,,,,,,,,
AZ030,AZCAM30,7.44456,-80.19688,cardenas,30,20240202,20240312,20240312,3.5,timelapse plus,AZDRV01,AZCAM30 - 20240312,,,,,,,,,,,,,,,,,,,
AZ031,AZCAM31,7.44456,-80.19433,cardenas,31,20240202,20240312,20240312,6.5,timelapse plus,AZDRV01,AZCAM31 - 20240312,,,,,,,,,,,,,,,,,,,
AZ032,AZCAM32,7.4445,-80.19182,cardenas,32,20240223,20240312,20240312,4.6,timelapse plus,AZDRV01,AZCAM32 - 20240312,,,,,,,,,,,,,,,,,,,
AZ033,AZCAM33,7.44692,-80.20911,Eco Venao,33,20240201,20240315,20240315,4.3,timelapse plus,AZDRV01,AZCAM33 - 20240315,,,,,,,,,,,,,,,,,,,
AZ034,AZCAM34,7.44692,-80.20664,Eco Venao,34,20240201,20240315,20240315,,timelapse plus,AZDRV01,AZCAM34 - 20240315,,,,,,,,,,,,,,,,,,,
AZ035,AZCAM35,7.43783,-80.08364,Panamaes,35,20240207,20240319,20240319,11.5,timelapse plus,AZDRV01,AZCAM35 - 20240319,,,,,,,,,,,,,,,,,,,
AZ036,AZCAM36,7.44193,-80.09033,Panamaes,36,20240207,20240319,20240319,5,timelapse plus,AZDRV01,AZCAM36 - 20240319,,,,,,,,,,,,,,,,,,,
AZ037,AZCAM37,7.44413,-80.09151,Panamaes,37,20240207,20240319,20240319,5.1,timelapse plus,AZDRV01,AZCAM37 - 20240319,,,,,,,,,,,,,,,,,,,
AZ038,AZCAM38,7.44399,-80.07402,Panamaes,38,20240208,20240319,20240314,,timelapse plus,AZDRV01,AZCAM38 - 20240319,,,,,,,,,,,,,,,,,,,
AZ039,AZCAM39,7.44692,-80.08559,Panamaes,39,20240207,20240321,20240321,3.3,timelapse plus,AZDRV01,AZCAM39 - 20240321,,,,,,,,,,,,,,,,,,,
AZ040,AZCAM40,7.44692,-80.08312,Panamaes,40,20240207,20240321,20240321,4,timelapse plus,AZDRV01,AZCAM40 - 20240321,,,,,,,,,,,,,,,,,,,
AZ041,AZCAM41,7.44692,-80.08065,Panamaes,41,20240208,20240321,20240321,5,timelapse plus,AZDRV01,AZCAM41 - 20240321,,,,,,,,,,,,,,,,,,,
AZ042,AZCAM42,7.44692,-80.07818,Panamaes,42,20240208,20240319,20240319,4.5,timelapse plus,AZDRV01,AZCAM42 - 20240319,,,,,,,,,,,,,,,,,,,
AZ043,AZCAM43,7.44729,-80.0715,Panamaes,43,20240208,20240319,20240319,10,timelapse plus,AZDRV01,AZCAM43 - 20240319,,,,,,,,,,,,,,,,,,,
AZ044,AZCAM44,7.44944,-80.08793,Panamaes,44,20240208,20240321,20240321,5.2,timelapse plus,AZDRV01,AZCAM44 - 20240321,,,,,,,,,,,,,,,,,,,
AZ045,AZCAM45,7.44939,-80.08559,Panamaes,45,20240208,20240321,20240321,5.2,timelapse plus,AZDRV01,AZCAM45 - 20240321,,,,,,,,,,,,,,,,,,,
AZ046,AZCAM46,7.45,-80.08287,Panamaes,46,20240208,20240318,20240318,5,timelapse plus,AZDRV01,AZCAM46 - 20240318,,,,,,,,,,,,,,,,,,,
AZ047,AZCAM47,7.44939,-80.08065,Panamaes,47,20240208,20240318,20240318,4.5,timelapse plus,AZDRV01,AZCAM47 - 20240318,,,,,,,,,,,,,,,,,,,
AZ048,AZCAM48,7.44939,-80.07818,Panamaes,48,20240208,20240319,20240319,5,timelapse plus,AZDRV01,AZCAM48 - 20240319,,,,,,,,,,,,,,,,,,,
AZ049,AZCAM49,7.45186,-80.08559,Panamaes,49,20240208,20240318,20240318,5.3,timelapse plus,AZDRV01,AZCAM49 - 20240318,,,,,,,,,,,,,,,,,,,
AZ050,AZCAM50,7.45214,-80.08309,Panamaes,50,20240208,20240318,20240318,6,timelapse plus,AZDRV01,AZCAM50 - 20240318,,,,,,,,,,,,,,,,,,,
AZ051,AZCAM51,7.45195,-80.08086,Panamaes,51,20240208,20240318,20240318,5,timelapse plus,AZDRV01,AZCAM51 - 20240318,,,,,,,,,,,,,,,,,,,
AZ052,AZCAM52,7.45433,-80.08065,Panamaes,52,20240208,20240318,20240318,4.5,timelapse plus,AZDRV01,AZCAM52 - 20240318,,,,,,,,,,,,,,,,,,,
AZ053,AZCAM53,7.45123,-80.08768,Panamaes,106,20240209,20240321,20240321,3.5,timelapse plus,AZDRV01,AZCAM53 - 20240321,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
