project_id,deployment_id,sequence_id,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,start_time,end_time,group_size,age,sex,animal_recognizable,individual_id,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license
2007494,AZCAM19 - 20240315,9326099,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,30/01/2024 1:28,30/01/2024 1:29,1,,,,,,,,,,CC-BY-NC
2007494,AZCAM19 - 20240315,9326099,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,30/01/2024 1:28,30/01/2024 1:29,1,,,,,,,,,,CC-BY-NC
2007494,AZCAM19 - 20240315,9326099,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,30/01/2024 1:28,30/01/2024 1:29,1,,,,,,,,,,CC-BY-NC
2007494,AZCAM19 - 20240315,9326099,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,30/01/2024 1:28,30/01/2024 1:29,1,,,,,,,,,,CC-BY-NC
2007494,AZCAM19 - 20240315,9326099,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,30/01/2024 1:28,30/01/2024 1:29,1,,,,,,,,,,CC-BY-NC
2007494,AZCAM19 - 20240315,9326099,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,30/01/2024 1:28,30/01/2024 1:29,1,,,,,,,,,,CC-BY-NC
2007494,AZCAM19 - 20240315,9326099,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,30/01/2024 1:28,30/01/2024 1:29,1,,,,,,,,,,CC-BY-NC
2007494,AZCAM19 - 20240315,9326099,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,30/01/2024 1:28,30/01/2024 1:29,1,,,,,,,,,,CC-BY-NC
2007494,AZCAM19 - 20240315,9326099,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,30/01/2024 1:28,30/01/2024 1:29,1,,,,,,,,,,CC-BY-NC
2007494,AZCAM31 - 20240312,9334090,0,Hubert Szczygiel,32c0147f-1967-4644-b107-8133ae1f020a,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Spotted Paca,,17/02/2024 2:47,17/02/2024 2:47,1,,,,,,,,,,CC-BY-NC
